35-50y,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,cg_1-10000,cl_0,<40h,United-States,<=50K
35-50y,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,cg_0,cl_0,<40h,United-States,<=50K
35-50y,Private,HS-grad,no-spouse,Services,Not-in-family,White,Male,cg_0,cl_0,<40h,United-States,<=50K
50-65y,Private,below-HS,Married-civ-spouse,Services,Husband,POC,Male,cg_0,cl_0,<40h,United-States,<=50K
25-35y,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,POC,Female,cg_0,cl_0,<40h,non-US,<=50K
35-50y,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,cg_0,cl_0,<40h,United-States,<=50K
35-50y,Private,below-HS,no-spouse,Services,Not-in-family,POC,Female,cg_0,cl_0,<40h,non-US,<=50K
50-65y,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,cg_0,cl_0,41-50h,United-States,>50K
25-35y,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,cg_10000-20000,cl_0,41-50h,United-States,>50K
35-50y,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,cg_1-10000,cl_0,<40h,United-States,>50K
35-50y,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,POC,Male,cg_0,cl_0,>50h,United-States,>50K
25-35y,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,POC,Male,cg_0,cl_0,<40h,non-US,>50K
0-25y,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,cg_0,cl_0,<40h,United-States,<=50K
25-35y,Private,Assoc-acdm,Never-married,Sales,Not-in-family,POC,Male,cg_0,cl_0,41-50h,United-States,<=50K
35-50y,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,POC,Male,cg_0,cl_0,<40h,non-US,>50K
25-35y,Private,below-HS,Married-civ-spouse,Transport-moving,Husband,POC,Male,cg_0,cl_0,41-50h,non-US,<=50K
0-25y,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,cg_0,cl_0,<40h,United-States,<=50K
25-35y,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,cg_0,cl_0,<40h,United-States,<=50K
35-50y,Private,below-HS,Married-civ-spouse,Sales,Husband,White,Male,cg_0,cl_0,41-50h,United-States,<=50K
35-50y,Self-emp-not-inc,Masters,no-spouse,Exec-managerial,Unmarried,White,Female,cg_0,cl_0,41-50h,United-States,>50K
35-50y,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,cg_0,cl_0,>50h,United-States,>50K
50-65y,Private,HS-grad,no-spouse,Services,Unmarried,POC,Female,cg_0,cl_0,<40h,United-States,<=50K
25-35y,Federal-gov,below-HS,Married-civ-spouse,Farming-fishing,Husband,POC,Male,cg_0,cl_0,<40h,United-States,<=50K
35-50y,Private,below-HS,Married-civ-spouse,Transport-moving,Husband,White,Male,cg_0,cl_1000-2500,<40h,United-States,<=50K
50-65y,Private,HS-grad,no-spouse,Tech-support,Unmarried,White,Female,cg_0,cl_0,<40h,United-States,<=50K
50-65y,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,cg_0,cl_0,<40h,United-States,>50K
0-25y,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,cg_0,cl_0,<40h,United-States,<=50K
50-65y,?,Some-college,Married-civ-spouse,?,Husband,POC,Male,cg_0,cl_0,>50h,non-US,>50K
35-50y,Private,HS-grad,no-spouse,Exec-managerial,Not-in-family,White,Male,cg_0,cl_0,>50h,United-States,<=50K
35-50y,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,cg_0,cl_0,<40h,United-States,<=50K
0-25y,Local-gov,Assoc-acdm,Never-married,Services,Not-in-family,White,Male,cg_0,cl_0,>50h,United-States,<=50K
0-25y,Private,Some-college,Never-married,Sales,Own-child,POC,Male,cg_0,cl_0,41-50h,United-States,<=50K
35-50y,Private,Bachelors,no-spouse,Exec-managerial,Own-child,White,Male,cg_0,cl_1000-2500,<40h,United-States,<=50K
25-35y,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,cg_0,cl_0,<40h,United-States,<=50K
0-25y,State-gov,Some-college,Married-civ-spouse,Services,Husband,POC,Male,cg_0,cl_0,<40h,United-States,<=50K
35-50y,Private,below-HS,Never-married,Machine-op-inspct,Unmarried,White,Male,cg_0,cl_0,<40h,non-US,<=50K
0-25y,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,cg_0,cl_0,<40h,United-States,<=50K
0-25y,Private,HS-grad,no-spouse,Adm-clerical,Wife,White,Female,cg_0,cl_0,<40h,United-States,<=50K
25-35y,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,cg_0,cl_0,<40h,non-US,>50K
35-50y,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,cg_0,cl_0,<40h,United-States,<=50K
25-35y,Private,below-HS,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,cg_0,cl_0,41-50h,United-States,<=50K
